t-model-nmf	fix-model-nmf	jppcf
0.300844226807	0.291563423761	0.306499238456
0.353638708576	0.319340158828	0.353702524622
0.43868436999	0.314122209089	0.416135945128
0.454734618004	0.356129162602	0.431338339156
0.314172162821	0.246809619679	0.316076036026
0.465315110043	0.193742384247	0.466238507946
0.423501950905	0.187782876817	0.43108626829
0.378243694438	0.149330045735	0.410380473699
0.377180311735	0.12870736198	0.381061153879
0.345886593431	0.162869910195	0.364002238077
0.386940389256	0.151259123657	0.383181690575
0.421681002346	0.187252791851	0.411817447986
0.452236849011	0.267967275185	0.444136083203
0.523271814852	0.407353435844	0.526848887547
0.458524602659	0.348653920474	0.462168470973
0.487154150198	0.378458498024	0.429249011858
0.593226120858	0.46	0.59544834308
0.397777777778	0.393333333333	0.422222222222
0.0	0.0	0.0
