t-model-nmf	fix-model-nmf	jppcf
0.955182072829	0.955182072829	0.966386554622
0.880176211454	0.9453010279	0.906408642752
0.849182808717	0.932052058111	0.885895883777
0.822784391534	0.895553036029	0.891088750315
0.775852112477	0.874985676611	0.776997942455
0.791439129827	0.831496919335	0.794298598376
0.797507083797	0.813316960317	0.784511961859
0.72712464344	0.787540452914	0.786725247851
0.752793695288	0.787921890545	0.799384880476
0.776523215448	0.774549288949	0.772219972616
0.754283762903	0.77353707832	0.770909552904
0.764150786651	0.802454436278	0.7692704328
0.799850478802	0.804668589607	0.832689919994
0.640773809524	0.870401785714	0.797336309524
0.711404306946	0.855272469922	0.823400060661
0.707762557078	0.874429223744	0.849315068493
0.708333333333	0.895833333333	0.8125
0.666666666667	0.878787878788	0.818181818182
