t-model-nmf	fix-model-nmf	jppcf
0.563058914497	0.574297203138	0.572265690126
0.564561217014	0.474663830682	0.559253490277
0.509355275352	0.322660598901	0.498614906117
0.558380217459	0.369283031415	0.564083123866
0.632596122393	0.568826584628	0.609782304406
0.637982334724	0.309210702861	0.623881246771
0.614668212698	0.318534155172	0.629326405919
0.611596824588	0.285882962155	0.623695853031
0.600880328792	0.277244575452	0.600252343144
0.566969771339	0.301202973494	0.576418669905
0.587672637341	0.250060175491	0.597843922956
0.599580496635	0.256005109628	0.597145626688
0.571317325007	0.321504991224	0.575505647704
0.594478771208	0.365913343718	0.593750819827
0.605964823107	0.387455815496	0.599323105676
0.527425418233	0.305595336581	0.546243577407
0.684952853543	0.498382639123	0.701332204314
0.361582298298	0.288111053566	0.415202008643
