t-model-nmf	fix-model-nmf	jppcf
0.893557422969	0.875350140056	0.915966386555
0.910530732117	0.961742185861	0.905973358506
0.867998385795	0.939966707022	0.879408797417
0.849801587302	0.891783194759	0.845923091459
0.799330033788	0.877330606228	0.774926501507
0.839577592239	0.84197671804	0.796465527794
0.833110196813	0.811740507608	0.802010447532
0.787368155233	0.798097782268	0.762971442969
0.802405303247	0.779333852008	0.795777365494
0.80114310381	0.777201623926	0.794834463508
0.788076989264	0.762820590674	0.771901299566
0.834918880213	0.802595033919	0.817019758784
0.876610370379	0.824304004673	0.852678736956
0.876711309524	0.864880952381	0.86837797619
0.913102820746	0.817055909413	0.926751592357
0.906392694064	0.84703196347	0.917808219178
0.90625	0.9375	0.927083333333
0.848484848485	0.856060606061	0.848484848485
