t-model-nmf	fix-model-nmf	jppcf
0.799174807252	0.784312181548	0.775775266518
0.768511392938	0.745999092854	0.756102591025
0.69005665051	0.618065669104	0.693708742182
0.748253362541	0.653101808743	0.76663840923
0.697431107531	0.679443245201	0.718193572098
0.740344759667	0.507382016093	0.754256293549
0.716862714263	0.493906057574	0.733729673115
0.69331389044	0.415773055381	0.722024870327
0.663439592404	0.406257321991	0.692403859014
0.663966918354	0.428231636079	0.699149805724
0.631891810971	0.338379731821	0.681732532094
0.683078896421	0.432414514756	0.707296377936
0.698533376458	0.557868559494	0.675088757643
0.673752355238	0.645846148189	0.681279279067
0.745469824886	0.704535851974	0.734337857113
0.677272727273	0.525757575758	0.660606060606
0.803052503053	0.875976800977	0.8615995116
0.55	0.55	0.6
