t-model-nmf	fix-model-nmf	jppcf
0.336641914806	0.333317028276	0.33753549868
0.305152850733	0.2036821912	0.306793425596
0.338837928285	0.159397550512	0.356014251381
0.310520123693	0.1328598949	0.298190027946
0.270859231156	0.233375902243	0.271258257801
0.248219801805	0.0797993461187	0.267958158552
0.226483233884	0.0743758778055	0.243157674955
0.210679954482	0.0651123375308	0.22596271498
0.186076429779	0.0737544603382	0.208229361777
0.174765765581	0.0864960552255	0.17798131897
0.20201207232	0.0736633994827	0.211824235131
0.229761503209	0.0793631633102	0.221939075587
0.303661572147	0.0965369102232	0.289107256468
0.286732972316	0.0969799236401	0.318385986453
0.29519741013	0.104560944184	0.297543931808
0.278701644876	0.119470718244	0.305231790695
0.258524020757	0.14497082106	0.301315057647
0.181289893209	0.149976884112	0.228410173693
