t-model-nmf	fix-model-nmf	jppcf
0.88200280112	0.882703081232	0.857959850607
0.872562647441	0.854359400035	0.841436398699
0.818833920317	0.827983986353	0.793502824859
0.803087994457	0.798978017133	0.809687578735
0.702362823007	0.765188974797	0.714483102612
0.734815891752	0.68778282746	0.724219120015
0.71583561055	0.64262401053	0.709407952935
0.677990080357	0.611697573831	0.711255376371
0.692076238967	0.597019387197	0.729552757642
0.69547251806	0.59382074591	0.697542368508
0.673555233568	0.609264703264	0.694246253666
0.712234127381	0.663973063385	0.717478011302
0.783716050933	0.722545811892	0.755087184168
0.765610119048	0.746235119048	0.744836309524
0.822556247715	0.694485274103	0.800215000852
0.813926940639	0.731735159817	0.796803652968
0.833333333333	0.774305555556	0.885416666667
0.848484848485	0.613636363636	0.901515151515
